[2011/07/18 Mon 10:41:21] Check Leaks ===================================================>
Memory Stay ------> 0x102dc450 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d84d8 (size  64, <Unknown>:0   )
Memory Stay ------> 0x10310460 (size  14, <Unknown>:0   )
Memory Stay ------> 0x103084a0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10304428 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102fc468 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f4458 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4420 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f4440 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102d4410 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f4468 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f4428 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f4478 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102e4438 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102e4420 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102e04f0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102e04d8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x1003c4f0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102c44c0 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102bc400 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b8440 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b4480 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b04c0 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102a84b0 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102a4450 (size  52, ../../common/cmr_setting_element.cpp:64  )
Memory Stay ------> 0x102a4438 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1029c4e8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102984c8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102944a8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10290488 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1028c468 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1026c420 (size  19, <Unknown>:0   )
Memory Stay ------> 0x10288480 (size  52, ../../common/cmr_setting_element.cpp:59  )
Memory Stay ------> 0x10288458 (size  31, <Unknown>:0   )
Memory Stay ------> 0x1027c4d8 (size  30, <Unknown>:0   )
Memory Stay ------> 0x10274420 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x102684d8 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x102684b0 (size  29, <Unknown>:0   )
Memory Stay ------> 0x1011c458 (size  20, <Unknown>:0   )
Memory Stay ------> 0x101184a8 (size  34, <Unknown>:0   )
Memory Stay ------> 0x10114440 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10110488 (size  25, <Unknown>:0   )
Memory Stay ------> 0x1010c458 (size  18, <Unknown>:0   )
Memory Stay ------> 0x10104450 (size  52, ../../common/cmr_setting_element.cpp:64  )
Memory Stay ------> 0x10104420 (size  38, <Unknown>:0   )
Memory Stay ------> 0x100f84f0 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x100f84c8 (size  36, <Unknown>:0   )
Memory Stay ------> 0x100f0440 (size  52, ../../common/cmr_setting_element.cpp:64  )
Memory Stay ------> 0x100f0420 (size  28, <Unknown>:0   )
Memory Stay ------> 0x1025c438 (size  21, <Unknown>:0   )
Memory Stay ------> 0x100384f0 (size  17, <Unknown>:0   )
Memory Stay ------> 0x10030430 (size  23, <Unknown>:0   )
Memory Stay ------> 0x100184b0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x100184a0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10018490 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10014418 (size  56, <Unknown>:0   )
Memory Stay ------> 0x1025c530 (size   8, ../../../export/include/sysserv/sysipc_handle.h:50  )
Memory Stay ------> 0x10340590 (size   4, <Unknown>:0   )
Memory Stay ------> 0x1032c500 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10334538 (size   4, <Unknown>:0   )
Memory Stay ------> 0x103305a0 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102d0520 (size   4, <Unknown>:0   )
Memory Stay ------> 0x103285a8 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102dc588 (size 100, <Unknown>:0   )
Memory Stay ------> 0x102dc578 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10318560 (size  12, <Unknown>:0   )
Memory Stay ------> 0x1030c518 (size  14, <Unknown>:0   )
Memory Stay ------> 0x103085d0 (size  14, <Unknown>:0   )
Memory Stay ------> 0x10304560 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10304550 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102fc598 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f05f0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f05d8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102e4560 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102e0500 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102c0500 (size  32, <Unknown>:0   )
